               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.014094,            0.013067,           0.0070025,             0.91428,             0.97024,             0.97487,             0.67787,           0.0059419,              0.0042,           0.0019958,              0.0067,              0.0067,              0.0067
                  52,            0.016032,            0.013147,           0.0065357,              0.9606,               0.916,             0.96825,             0.70739,           0.0053788,           0.0042114,           0.0022419,            0.006634,            0.006634,            0.006634
                  53,            0.014873,            0.012654,            0.006387,             0.95243,             0.91417,             0.97226,             0.61748,            0.006456,           0.0041828,            0.002364,            0.006568,            0.006568,            0.006568
                  54,            0.014511,            0.012567,           0.0075625,             0.92755,             0.90942,             0.97881,             0.65022,           0.0067025,           0.0040277,           0.0020172,            0.006502,            0.006502,            0.006502
                  55,            0.014618,            0.011884,           0.0070819,             0.88446,             0.95679,             0.97509,             0.68224,           0.0055341,           0.0040065,           0.0017532,            0.006436,            0.006436,            0.006436
                  56,            0.014616,            0.012731,           0.0062251,              0.9468,             0.93975,             0.96598,               0.727,           0.0052803,           0.0039178,            0.001823,             0.00637,             0.00637,             0.00637
                  57,            0.012867,            0.012246,           0.0064019,             0.92913,              0.9432,             0.97022,             0.70596,           0.0053283,           0.0038901,           0.0023361,            0.006304,            0.006304,            0.006304
                  58,            0.015554,            0.012189,           0.0056289,             0.92879,               0.875,             0.95316,             0.63065,           0.0065874,           0.0039558,           0.0020054,            0.006238,            0.006238,            0.006238
                  59,            0.014076,             0.01221,           0.0052142,             0.98261,             0.91539,             0.95883,             0.70854,           0.0064506,           0.0038385,           0.0019669,            0.006172,            0.006172,            0.006172
                  60,            0.013859,            0.011882,           0.0065213,             0.97053,                 0.9,             0.97125,             0.70186,           0.0065237,           0.0037155,            0.001796,            0.006106,            0.006106,            0.006106
                  61,            0.014883,            0.012893,           0.0073623,             0.96244,              0.9196,             0.97682,             0.73319,           0.0052612,           0.0038528,           0.0016975,             0.00604,             0.00604,             0.00604
