               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.039629,            0.017506,           0.0019206,             0.59725,             0.67663,              0.6614,             0.27177,            0.049378,           0.0074133,            0.013135,            0.003763,            0.003763,            0.003763
                  65,            0.036944,            0.017233,           0.0011216,             0.55543,             0.63785,             0.62216,             0.26444,            0.047371,           0.0073698,             0.01484,            0.003664,            0.003664,            0.003664
                  66,            0.039544,            0.017501,           0.0013767,             0.59665,              0.6859,             0.64002,             0.27458,            0.046882,           0.0074123,            0.012888,            0.003565,            0.003565,            0.003565
                  67,            0.038292,             0.01756,           0.0015582,              0.6659,             0.64672,             0.67277,             0.30256,            0.046974,           0.0073198,            0.012101,            0.003466,            0.003466,            0.003466
                  68,            0.038435,            0.017119,           0.0021222,             0.67599,             0.71763,             0.69512,             0.31036,             0.04581,           0.0071996,            0.012647,            0.003367,            0.003367,            0.003367
                  69,            0.035253,            0.017001,           0.0020199,             0.67851,             0.72776,             0.69298,             0.30561,             0.04707,           0.0072908,            0.010901,            0.003268,            0.003268,            0.003268
                  70,            0.036946,            0.017981,           0.0031693,             0.64598,             0.74596,             0.67814,             0.29415,            0.045752,           0.0072535,            0.010742,            0.003169,            0.003169,            0.003169
                  71,               0.039,             0.01688,           0.0043237,              0.6417,             0.74929,             0.68567,             0.29542,            0.045691,           0.0072441,            0.012753,             0.00307,             0.00307,             0.00307
                  72,             0.03566,            0.017514,           0.0027516,             0.61785,             0.76448,             0.69607,             0.30207,            0.047064,           0.0072092,            0.014194,            0.002971,            0.002971,            0.002971
                  73,            0.034345,             0.01725,           0.0017026,             0.61032,             0.78636,             0.67397,             0.30094,            0.046496,           0.0073007,             0.01656,            0.002872,            0.002872,            0.002872
                  74,            0.040098,            0.016016,           0.0022176,             0.58494,             0.73081,             0.66663,             0.30172,            0.046186,           0.0074391,            0.019767,            0.002773,            0.002773,            0.002773
                  75,            0.035715,             0.01644,           0.0030473,             0.62733,             0.61465,             0.64967,               0.282,            0.046363,           0.0074514,            0.014767,            0.002674,            0.002674,            0.002674
                  76,            0.035791,            0.017278,           0.0014892,             0.67614,             0.64695,              0.6626,             0.29035,            0.045548,           0.0075293,            0.012838,            0.002575,            0.002575,            0.002575
                  77,            0.033721,            0.016197,           0.0016223,             0.62881,              0.6999,             0.67968,             0.30958,             0.04455,           0.0075592,            0.012437,            0.002476,            0.002476,            0.002476
                  78,            0.040566,            0.017569,           0.0020718,             0.66299,             0.74297,             0.69874,             0.29304,            0.044627,           0.0074093,            0.013581,            0.002377,            0.002377,            0.002377
                  79,            0.036605,            0.016798,           0.0024308,             0.65748,             0.73725,             0.67831,             0.30672,            0.044998,           0.0074705,            0.012126,            0.002278,            0.002278,            0.002278
